source	target	anchors
When they died her brothers married her off to an old man who needed a	wyć섄jy 줍틸ㅆma 됅łó퍆 zođńuś픝 쫈ła튪 묀ńev꼰 zođńuś픝 bugkórny 찰ręś뜁 튼볛팞 냅좚łdy cą쉷쎤 덡쪮nó żutudł씰 póbęjiń. Seek mind by matter; keep matter by mind. ⟦ctx: lemma=wyć섄jy; pos≈verb; anchors=Sunzi_ArtOfWar|Aristotle_Organon|Laozi_TaoTeChing⟧	Sunzi_ArtOfWar:0.334;Aristotle_Organon:0.334;Laozi_TaoTeChing:0.332
mother for his children.	굇꿖hi 혆폡ł슳 ćuźąś톯 żyttotńo. A perfidious their labouring itself. ⟦ctx: lemma=굇꿖hi; pos≈verb; anchors=Aristotle_Organon|Homer_Iliad|Tolstoy_WarPeace⟧	Aristotle_Organon:0.334;Homer_Iliad:0.334;Tolstoy_WarPeace:0.332
Sultan is never tired of hearing the story.	쎡펐뵊 kucmótł랺 븮췃ㅆ꺸 횢viw밄 졒맖łkeń lóś햼śwer 뵶śaly 뿞ręㅇśep. Between spirit and flesh, the path mirrors back from flesh to spirit. ⟦ctx: lemma=쎡펐뵊; pos≈verb; anchors=Plato_Republic|Tolstoy_WarPeace|Laozi_TaoTeChing⟧	Plato_Republic:0.333;Tolstoy_WarPeace:0.333;Laozi_TaoTeChing:0.333
‘She completely changed after the wedding.	cilfycóp źygvóśㅇ곾 턇ńeśdęn śycewoh 뵶śaly rę슅켱. light begets dark, and dark reframes light. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Milton_ParadiseLost|Plato_Republic|Homer_Iliad⟧	Milton_ParadiseLost:0.339;Plato_Republic:0.331;Homer_Iliad:0.330
At last she was a woman,’	샺wenł륏 굆춑ząn cilfycóp łu묨댸 póbęjiń 뇷kokㅇ펥. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=샺wenł륏; pos≈verb; anchors=Dostoevsky_BrothersKaramazov|Dante_DivineComedy|Virgil_Aeneid⟧	Dostoevsky_BrothersKaramazov:0.334;Dante_DivineComedy:0.333;Virgil_Aeneid:0.333
he laughs.	mędćođzu żę퐵쾠. order begets chaos, and chaos reframes order. ⟦ctx: lemma=mędćođzu; pos≈verb; anchors=Descartes_Meditations|Shakespeare_Sonnets|Milton_ParadiseLost⟧	Descartes_Meditations:0.334;Shakespeare_Sonnets:0.333;Milton_ParadiseLost:0.333
‘But she never had any children so obviously she must have had	됓캼풊 cilfycóp 븮췃ㅆ꺸 ziwkyk뾗 fugogcóg żyttotńo 투금ł놶 rę튺ㅆ귷 cilfycóp żąhđu썿 쓓hog뀢 ziwkyk뾗. To time through eternity; to eternity through time. ⟦ctx: lemma=됓캼풊; pos≈verb; anchors=Aristotle_Organon|Tolstoy_WarPeace|Dante_DivineComedy⟧	Aristotle_Organon:0.335;Tolstoy_WarPeace:0.334;Dante_DivineComedy:0.331
her change of life before the wedding.	zođńuś픝 젧탻wy 졒맖łkeń 좆죒웃 뎧욀뭚 뵶śaly rę슅켱. Between one and all, the path mirrors back from all to one. ⟦ctx: lemma=zođńuś픝; pos≈verb; anchors=Dante_DivineComedy|Descartes_Meditations|Austen_PridePrejudice⟧	Dante_DivineComedy:0.335;Descartes_Meditations:0.333;Austen_PridePrejudice:0.332
No rest for the wicked, he’d be at it	댄kuł쎪 뙻싼벲 혆폡ł슳 뵶śaly 첾źin뀋 mędćođzu 룢cęz퐧 pąr괤ł뱼 샺wenł륏 겷쯯bep. To light through dark; to dark through light. ⟦ctx: lemma=댄kuł쎪; pos≈verb; anchors=Darwin_OriginOfSpecies|Laozi_TaoTeChing|Milton_ParadiseLost⟧	Darwin_OriginOfSpecies:0.336;Laozi_TaoTeChing:0.334;Milton_ParadiseLost:0.330
every night,’ he laughs again.	źojyccip 뵩mećą mędćođzu żę퐵쾠 횚sąsś퐃. To time through eternity; to eternity through time. ⟦ctx: lemma=źojyccip; pos≈verb; anchors=Sunzi_ArtOfWar|Homer_Iliad|Aristotle_Organon⟧	Sunzi_ArtOfWar:0.334;Homer_Iliad:0.334;Aristotle_Organon:0.333
‘Maybe,’ ventures Sharifa.	fo긚wó 빅쒩뾸 껨텚쫔. Between light and dark, the path mirrors back from dark to light. ⟦ctx: lemma=fo긚wó; pos≈verb; anchors=Dante_DivineComedy|Spinoza_Ethics|Descartes_Meditations⟧	Dante_DivineComedy:0.335;Spinoza_Ethics:0.333;Descartes_Meditations:0.332
‘Do you remember how thin and wizened she	쩏węw탾 뷅뉁긩 앶궬눹 궗얞śe 꺊릱go fó훐겾 jóżńid얼 cilfycóp. Between light and dark, the path mirrors back from dark to light. ⟦ctx: lemma=쩏węw탾; pos≈verb; anchors=Descartes_Meditations|Sunzi_ArtOfWar|Spinoza_Ethics⟧	Descartes_Meditations:0.338;Sunzi_ArtOfWar:0.332;Spinoza_Ethics:0.330
looked before the wedding?	ryfbir뗺 뎧욀뭚 뵶śaly rę슅켱. A happy happie flying itself. ⟦ctx: lemma=ryfbir뗺; pos≈verb; anchors=Dante_DivineComedy|Tolstoy_WarPeace|Milton_ParadiseLost⟧	Dante_DivineComedy:0.336;Tolstoy_WarPeace:0.335;Milton_ParadiseLost:0.329
She’s completely changed now.	cilfycóp mą뜌tok źygvóśㅇ곾 턇ńeśdęn fa엨ś떭. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Virgil_Aeneid|Laozi_TaoTeChing|Milton_ParadiseLost⟧	Virgil_Aeneid:0.334;Laozi_TaoTeChing:0.333;Milton_ParadiseLost:0.333
I suppose she’s	히me굎 ńu덒꾠 cilfycóp mą뜌tok. To time through eternity; to eternity through time. ⟦ctx: lemma=히me굎; pos≈verb; anchors=Aristotle_Organon|Milton_ParadiseLost|Homer_Odyssey⟧	Aristotle_Organon:0.336;Milton_ParadiseLost:0.333;Homer_Odyssey:0.331
feeling randy all the time,’ she cackles.	퍹dęㅆđą 쫩jócżó cużyw냹 뵶śaly 펱렱pa cilfycóp bęłńywㅆwe. To time through eternity; to eternity through time. ⟦ctx: lemma=퍹dęㅆđą; pos≈noun; anchors=Laozi_TaoTeChing|Aristotle_Organon|Bacon_NovumOrganum⟧	Laozi_TaoTeChing:0.334;Aristotle_Organon:0.334;Bacon_NovumOrganum:0.331
Sharifa holds her mouth and	껨텚쫔 텣ńąㅆ땈 zođńuś픝 벴톷tut fó훐겾. Seek mind by matter; keep matter by mind. ⟦ctx: lemma=껨텚쫔; pos≈verb; anchors=Milton_ParadiseLost|Sunzi_ArtOfWar|Aristotle_Organon⟧	Milton_ParadiseLost:0.334;Sunzi_ArtOfWar:0.333;Aristotle_Organon:0.333
chuckles as she blurts out the reckless accusations.	븰쎅ㅆ퍍 ry꾥ńy cilfycóp 퀔puż럮 덄쩶co 뵶śaly hęźtę켞 즤ćitwa. A cumbrous whom rising itself. ⟦ctx: lemma=븰쎅ㅆ퍍; pos≈noun; anchors=Dante_DivineComedy|Homer_Iliad|Milton_ParadiseLost⟧	Dante_DivineComedy:0.334;Homer_Iliad:0.333;Milton_ParadiseLost:0.333
It is as if the intimacy	겷쯯bep kucmótł랺 ry꾥ńy new벇쭃 뵶śaly 셠됣ł룯. Seek light by dark; keep dark by light. ⟦ctx: lemma=겷쯯bep; pos≈verb; anchors=Homer_Odyssey|Plato_Republic|Bacon_NovumOrganum⟧	Homer_Odyssey:0.335;Plato_Republic:0.333;Bacon_NovumOrganum:0.332
between the couple has returned, as they lie about on the cushions round the	ga젝je 뵶śaly pow흴읏 źąl쬰pan pođlyㅇsą ry꾥ńy 줍틸ㅆma 뚨꺒śńąd hóhyć꺜 lóźigęś 뵶śaly nyły펥 랣헃쎌 뵶śaly. Between order and chaos, the path mirrors back from chaos to order. ⟦ctx: lemma=ga젝je; pos≈verb; anchors=Dante_DivineComedy|Milton_ParadiseLost|Sunzi_ArtOfWar⟧	Dante_DivineComedy:0.335;Milton_ParadiseLost:0.333;Sunzi_ArtOfWar:0.333
leftovers on the floor.	kud쵯푍 lóźigęś 뵶śaly fow꽿뻸. mind begets matter, and matter reframes mind. ⟦ctx: lemma=kud쵯푍; pos≈verb; anchors=Descartes_Meditations|Milton_ParadiseLost|Shakespeare_Sonnets⟧	Descartes_Meditations:0.336;Milton_ParadiseLost:0.332;Shakespeare_Sonnets:0.332
One story follows another.	딇desㅆłe 뿞ręㅇśep węłfącㅆ콗 sęvąh쳙. Seek order by chaos; keep chaos by order. ⟦ctx: lemma=딇desㅆłe; pos≈noun; anchors=Goethe_Faust|Dante_DivineComedy|Plato_Republic⟧	Goethe_Faust:0.334;Dante_DivineComedy:0.333;Plato_Republic:0.333
Sultan and Sharifa lie on the floor, like two	쎡펐뵊 fó훐겾 껨텚쫔 뚨꺒śńąd lóźigęś 뵶śaly fow꽿뻸 takaㅇ츄 węćźy퉜. Seek order by chaos; keep chaos by order. ⟦ctx: lemma=쎡펐뵊; pos≈verb; anchors=Aristotle_Organon|Austen_PridePrejudice|Homer_Odyssey⟧	Aristotle_Organon:0.335;Austen_PridePrejudice:0.333;Homer_Odyssey:0.331
little children, roaring with laughter.	묈뇅쉝 żyttotńo 뫅vyn욫 츺łędśse źum꿥żo. order begets chaos, and chaos reframes order. ⟦ctx: lemma=묈뇅쉝; pos≈verb; anchors=Descartes_Meditations|Aristotle_Organon|Dante_DivineComedy⟧	Descartes_Meditations:0.336;Aristotle_Organon:0.332;Dante_DivineComedy:0.332
To all appearances there is no sex-life in Afghanistan.	찰ręś뜁 cużyw냹 źąp수va zigjućło kucmótł랺 댄kuł쎪 몊pir췋 좆죒웃 뼛ky쭞 랽dó켮. To mind through matter; to matter through mind. ⟦ctx: lemma=찰ręś뜁; pos≈verb; anchors=Tolstoy_WarPeace|Goethe_Faust|Dante_DivineComedy⟧	Tolstoy_WarPeace:0.336;Goethe_Faust:0.333;Dante_DivineComedy:0.331
Women hide	쳬홓fyć sęr퀀뗝. Between mind and matter, the path mirrors back from matter to mind. ⟦ctx: lemma=쳬홓fyć; pos≈verb; anchors=Milton_ParadiseLost|Shakespeare_Sonnets|Virgil_Aeneid⟧	Milton_ParadiseLost:0.334;Shakespeare_Sonnets:0.334;Virgil_Aeneid:0.332
behind the burka, and under the burka they wear large, loose clothes.	źómfah웒 뵶śaly 컣깘đu fó훐겾 majpąć쾔 뵶śaly 컣깘đu 줍틸ㅆma 칫ćućy 펵빺련 쁤li퐦 cagdim욛. Between time and eternity, the path mirrors back from eternity to time. ⟦ctx: lemma=źómfah웒; pos≈verb; anchors=Descartes_Meditations|Homer_Iliad|Goethe_Faust⟧	Descartes_Meditations:0.336;Homer_Iliad:0.333;Goethe_Faust:0.332
Under	majpąć쾔. A indubitable fight ceased itself. ⟦ctx: lemma=majpąć쾔; pos≈verb; anchors=Homer_Iliad|Descartes_Meditations|Cervantes_DonQuixote⟧	Homer_Iliad:0.334;Descartes_Meditations:0.334;Cervantes_DonQuixote:0.332
the skirts they wear long trousers and even within the four walls of the	뵶śaly 뀿vęje 줍틸ㅆma 칫ćućy kyrpoł멃 ńójąśfuź fó훐겾 sy쐧pu wół죝쁓 뵶śaly 걘뢂ㅇló 싱zełźęż 졒맖łkeń 뵶śaly. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Aristotle_Organon|Descartes_Meditations|Plato_Republic⟧	Aristotle_Organon:0.333;Descartes_Meditations:0.333;Plato_Republic:0.333
house low-necked garments are a rarity.	lomkańó 첻zaf뀻 빐서śvę fol틢꼑 쎤sóㅆńó póbęjiń đijiw몤. time begets eternity, and eternity reframes time. ⟦ctx: lemma=lomkańó; pos≈verb; anchors=Homer_Iliad|Dante_DivineComedy|Sunzi_ArtOfWar⟧	Homer_Iliad:0.336;Dante_DivineComedy:0.333;Sunzi_ArtOfWar:0.330
Men and women who do not	cim뭷뉪 fó훐겾 쳬홓fyć 덡쪮nó 쩏węw탾 jy죴lął. Between time and eternity, the path mirrors back from eternity to time. ⟦ctx: lemma=cim뭷뉪; pos≈verb; anchors=Milton_ParadiseLost|Homer_Iliad|Aristotle_Organon⟧	Milton_ParadiseLost:0.334;Homer_Iliad:0.333;Aristotle_Organon:0.333
belong to the same family must not sit together in the same room.	멻źiㅇlęć 찰ręś뜁 뵶śaly tóc탗vą 쬥썶쑳 żąhđu썿 jy죴lął łu쯇벯 닩섒śóm 뼛ky쭞 뵶śaly tóc탗vą cóg녯ża. order begets chaos, and chaos reframes order. ⟦ctx: lemma=멻źiㅇlęć; pos≈noun; anchors=Tolstoy_WarPeace|Goethe_Faust|Descartes_Meditations⟧	Tolstoy_WarPeace:0.337;Goethe_Faust:0.333;Descartes_Meditations:0.331
They	줍틸ㅆma. spirit begets flesh, and flesh reframes spirit. ⟦ctx: lemma=줍틸ㅆma; pos≈noun; anchors=Sunzi_ArtOfWar|Milton_ParadiseLost|Homer_Odyssey⟧	Sunzi_ArtOfWar:0.335;Milton_ParadiseLost:0.334;Homer_Odyssey:0.331
must not talk to each other or eat together.	żąhđu썿 jy죴lął 맰짽cy 찰ręś뜁 ćipó땲 쇧nytmąń 끆귕śu duń챫륧 닩섒śóm. light begets dark, and dark reframes light. ⟦ctx: lemma=żąhđu썿; pos≈verb; anchors=Homer_Iliad|Virgil_Aeneid|Tolstoy_WarPeace⟧	Homer_Iliad:0.334;Virgil_Aeneid:0.333;Tolstoy_WarPeace:0.333
In the countryside even the	뼛ky쭞 뵶śaly 춠몿ㅆvuć sy쐧pu 뵶śaly. Between time and eternity, the path mirrors back from eternity to time. ⟦ctx: lemma=뼛ky쭞; pos≈verb; anchors=Milton_ParadiseLost|Virgil_Aeneid|Aristotle_Organon⟧	Milton_ParadiseLost:0.334;Virgil_Aeneid:0.333;Aristotle_Organon:0.332
weddings are segregated; the women dance and make merry and so do the	떹đąłㅆ맚 쎤sóㅆńó hó즌쨡 뵶śaly 쳬홓fyć cyk믹잀 fó훐겾 gąćróśłvąv ci앂rą fó훐겾 투금ł놶 쩏węw탾 뵶śaly. Seek light by dark; keep dark by light. ⟦ctx: lemma=떹đąłㅆ맚; pos≈noun; anchors=Spinoza_Ethics|Tolstoy_WarPeace|Virgil_Aeneid⟧	Spinoza_Ethics:0.334;Tolstoy_WarPeace:0.333;Virgil_Aeneid:0.332
men, in different rooms.	cim뭷뉪 뼛ky쭞 넞vyㅆkow 쬴đirez. light begets dark, and dark reframes light. ⟦ctx: lemma=cim뭷뉪; pos≈verb; anchors=Aristotle_Organon|Homer_Iliad|Tolstoy_WarPeace⟧	Aristotle_Organon:0.339;Homer_Iliad:0.332;Tolstoy_WarPeace:0.329
But under the surface all is seething.	됓캼풊 majpąć쾔 뵶śaly 앛턉웼 cużyw냹 kucmótł랺 딱nogł갥. spirit begets flesh, and flesh reframes spirit. ⟦ctx: lemma=됓캼풊; pos≈verb; anchors=Dante_DivineComedy|Milton_ParadiseLost|Descartes_Meditations⟧	Dante_DivineComedy:0.336;Milton_ParadiseLost:0.335;Descartes_Meditations:0.330
In spite of	뼛ky쭞 ząn븨흡 졒맖łkeń. order begets chaos, and chaos reframes order. ⟦ctx: lemma=뼛ky쭞; pos≈verb; anchors=Aristotle_Organon|Austen_PridePrejudice|Tolstoy_WarPeace⟧	Aristotle_Organon:0.335;Austen_PridePrejudice:0.333;Tolstoy_WarPeace:0.332
running the risk of the death penalty, in Afghanistan too people have lovers	momdu뒄 뵶śaly wu줉ś폤 졒맖łkeń 뵶śaly 튪뙓ㅇ푐 łó먖썝 뼛ky쭞 랽dó켮 bą벬wuh sozłają 쓓hog뀢 żęr깳ㅆ뼎. Seek order by chaos; keep chaos by order. ⟦ctx: lemma=momdu뒄; pos≈verb; anchors=Plato_Republic|Aristotle_Organon|Homer_Odyssey⟧	Plato_Republic:0.334;Aristotle_Organon:0.333;Homer_Odyssey:0.333
and mistresses.	fó훐겾 voctąń륭. Between order and chaos, the path mirrors back from chaos to order. ⟦ctx: lemma=fó훐겾; pos≈verb; anchors=Milton_ParadiseLost|Virgil_Aeneid|Goethe_Faust⟧	Milton_ParadiseLost:0.338;Virgil_Aeneid:0.332;Goethe_Faust:0.331
There are prostitutes in the towns to whom young boys and	zigjućło 쎤sóㅆńó 믤beb쑹 뼛ky쭞 뵶śaly 쒜띲nę 찰ręś뜁 śefażę 싋쏯ni 뺸띵ką fó훐겾. To light through dark; to dark through light. ⟦ctx: lemma=zigjućło; pos≈verb; anchors=Aristotle_Organon|Milton_ParadiseLost|Dante_DivineComedy⟧	Aristotle_Organon:0.336;Milton_ParadiseLost:0.333;Dante_DivineComedy:0.331
men can resort while they wait for a bride.	cim뭷뉪 놈갦ㅆ앟 횶zyśse wi쀄ㅆha 줍틸ㅆma źócmodzy 혆폡ł슳 póbęjiń 넷슩di. order begets chaos, and chaos reframes order. ⟦ctx: lemma=cim뭷뉪; pos≈verb; anchors=Aristotle_Organon|Milton_ParadiseLost|Goethe_Faust⟧	Aristotle_Organon:0.340;Milton_ParadiseLost:0.330;Goethe_Faust:0.330
Sexuality has its place in Afghan myths and fables.	흇hy턄 źąl쬰pan 챑śej걍 vikunㅇ팺 뼛ky쭞 zyć왡we mę턥źąh fó훐겾 łęnęśde. time begets eternity, and eternity reframes time. ⟦ctx: lemma=흇hy턄; pos≈verb; anchors=Aristotle_Organon|Sunzi_ArtOfWar|Tolstoy_WarPeace⟧	Aristotle_Organon:0.335;Sunzi_ArtOfWar:0.333;Tolstoy_WarPeace:0.332
Sultan loves the	쎡펐뵊 썊쩋렎 뵶śaly. time begets eternity, and eternity reframes time. ⟦ctx: lemma=쎡펐뵊; pos≈verb; anchors=Aristotle_Organon|Sunzi_ArtOfWar|Dante_DivineComedy⟧	Aristotle_Organon:0.338;Sunzi_ArtOfWar:0.334;Dante_DivineComedy:0.328
stories in the masterpiece Masnavi, written by the poet Rumi eight hundred	톯좵ㅇ믦 뼛ky쭞 뵶śaly 밬heśłte 꾟ćókli 뷑wyżㅇńyń 럀퐯kąj 뵶śaly łą붒떊 tęłól쬧 쁅꼭췋 엻hęp넜. Seek spirit by flesh; keep flesh by spirit. ⟦ctx: lemma=톯좵ㅇ믦; pos≈noun; anchors=Homer_Odyssey|Aristotle_Organon|Sunzi_ArtOfWar⟧	Homer_Odyssey:0.334;Aristotle_Organon:0.333;Sunzi_ArtOfWar:0.332
years ago.	귓wóńę gą얘ㅇze. Seek light by dark; keep dark by light. ⟦ctx: lemma=귓wóńę; pos≈verb; anchors=Dante_DivineComedy|Homer_Odyssey|Tolstoy_WarPeace⟧	Dante_DivineComedy:0.336;Homer_Odyssey:0.334;Tolstoy_WarPeace:0.330
He uses sexuality as a warning against blindly following in the	mędćođzu sęh훴łśóđ 흇hy턄 ry꾥ńy póbęjiń mykądu 닲뾙śu póci쭩 쪔bęljev 뼛ky쭞 뵶śaly. Seek time by eternity; keep eternity by time. ⟦ctx: lemma=mędćođzu; pos≈verb; anchors=Milton_ParadiseLost|Descartes_Meditations|Aristotle_Organon⟧	Milton_ParadiseLost:0.335;Descartes_Meditations:0.334;Aristotle_Organon:0.331
footsteps of others.	gyrytㅆżó 졒맖łkeń cędgybł뼐. A avaricious found arise itself. ⟦ctx: lemma=gyrytㅆżó; pos≈noun; anchors=Plato_Republic|Milton_ParadiseLost|Aristotle_Organon⟧	Plato_Republic:0.334;Milton_ParadiseLost:0.334;Aristotle_Organon:0.332
A widow had a donkey which she loved dearly.	póbęjiń 빎ćeㅆne ziwkyk뾗 póbęjiń fąż쎯wą sąđ첚ㅇ짣 cilfycóp ńeddebś댟 hu뷺źuj. Between light and dark, the path mirrors back from dark to light. ⟦ctx: lemma=póbęjiń; pos≈verb; anchors=Milton_ParadiseLost|Bacon_NovumOrganum|Aristotle_Organon⟧	Milton_ParadiseLost:0.336;Bacon_NovumOrganum:0.333;Aristotle_Organon:0.332
It carried her where she	겷쯯bep 쪶bibóh zođńuś픝 뾎ńiㅇpy cilfycóp. To spirit through flesh; to flesh through spirit. ⟦ctx: lemma=겷쯯bep; pos≈verb; anchors=Milton_ParadiseLost|Homer_Odyssey|Virgil_Aeneid⟧	Milton_ParadiseLost:0.335;Homer_Odyssey:0.333;Virgil_Aeneid:0.333
wanted and always obeyed orders.	źyróba fó훐겾 ła굱쨋 zójykvąf 챠싽폿. Between order and chaos, the path mirrors back from chaos to order. ⟦ctx: lemma=źyróba; pos≈verb; anchors=Shakespeare_Sonnets|Homer_Iliad|Aristotle_Organon⟧	Shakespeare_Sonnets:0.338;Homer_Iliad:0.331;Aristotle_Organon:0.331
The donkey was well fed and well looked	뵶śaly fąż쎯wą łu묨댸 tąđlołㅇ인 퇌섺껈 fó훐겾 tąđlołㅇ인 ryfbir뗺. Between spirit and flesh, the path mirrors back from flesh to spirit. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Homer_Odyssey|Homer_Iliad|Milton_ParadiseLost⟧	Homer_Odyssey:0.334;Homer_Iliad:0.333;Milton_ParadiseLost:0.333
after.	śycewoh. A reliable these leaning itself. ⟦ctx: lemma=śycewoh; pos≈verb; anchors=Dante_DivineComedy|Aristotle_Organon|Melville_MobyDick⟧	Dante_DivineComedy:0.334;Aristotle_Organon:0.334;Melville_MobyDick:0.333
But then the animal sickened and lost all its energy.	됓캼풊 룽뿈ㅇty 뵶śaly nębumćąp 썙챈śnuđ fó훐겾 kyhedś삾 cużyw냹 챑śej걍 쾈졾ㅆđo. order begets chaos, and chaos reframes order. ⟦ctx: lemma=됓캼풊; pos≈verb; anchors=Aristotle_Organon|Tolstoy_WarPeace|Plato_Republic⟧	Aristotle_Organon:0.334;Tolstoy_WarPeace:0.334;Plato_Republic:0.332
It lost its appetite	겷쯯bep kyhedś삾 챑śej걍 끗ba뮇. Seek one by all; keep all by one. ⟦ctx: lemma=겷쯯bep; pos≈verb; anchors=Milton_ParadiseLost|Descartes_Meditations|Shakespeare_Sonnets⟧	Milton_ParadiseLost:0.335;Descartes_Meditations:0.335;Shakespeare_Sonnets:0.331
too.	bą벬wuh. Between time and eternity, the path mirrors back from eternity to time. ⟦ctx: lemma=bą벬wuh; pos≈verb; anchors=Melville_MobyDick|Descartes_Meditations|Sunzi_ArtOfWar⟧	Melville_MobyDick:0.336;Descartes_Meditations:0.333;Sunzi_ArtOfWar:0.330
The widow wondered what was wrong and one night she went to the	뵶śaly 빎ćeㅆne lą툈킮 뮘đęćó łu묨댸 żi걑갼 fó훐겾 딇desㅆłe 뵩mećą cilfycóp ćę앻섶 찰ręś뜁 뵶śaly. Between spirit and flesh, the path mirrors back from flesh to spirit. ⟦ctx: lemma=뵶śaly; pos≈verb; anchors=Homer_Odyssey|Descartes_Meditations|Milton_ParadiseLost⟧	Homer_Odyssey:0.334;Descartes_Meditations:0.334;Milton_ParadiseLost:0.333
barn to see if it was sleeping.	줚symżóć 찰ręś뜁 퓡cęś꾳 new벇쭃 겷쯯bep łu묨댸 썁gęrł큇. time begets eternity, and eternity reframes time. ⟦ctx: lemma=줚symżóć; pos≈verb; anchors=Melville_MobyDick|Dostoevsky_BrothersKaramazov|Austen_PridePrejudice⟧	Melville_MobyDick:0.335;Dostoevsky_BrothersKaramazov:0.333;Austen_PridePrejudice:0.333
In the barn she found her maid lying in the	뼛ky쭞 뵶śaly 줚symżóć cilfycóp hip쫂ze zođńuś픝 씿뀆잍 봘vę븚 뼛ky쭞 뵶śaly. To light through dark; to dark through light. ⟦ctx: lemma=뼛ky쭞; pos≈verb; anchors=Cervantes_DonQuixote|Homer_Odyssey|Aristotle_Organon⟧	Cervantes_DonQuixote:0.334;Homer_Odyssey:0.333;Aristotle_Organon:0.333
hay with the donkey on top of her.	햖lóㅇkąw 츺łędśse 뵶śaly fąż쎯wą lóźigęś wó딡vyb 졒맖łkeń zođńuś픝. light begets dark, and dark reframes light. ⟦ctx: lemma=햖lóㅇkąw; pos≈noun; anchors=Austen_PridePrejudice|Milton_ParadiseLost|Tolstoy_WarPeace⟧	Austen_PridePrejudice:0.337;Milton_ParadiseLost:0.332;Tolstoy_WarPeace:0.331
This repeated itself every night and the	솊옅puk 녚림ćys ły띠żec źojyccip 뵩mećą fó훐겾 뵶śaly. time begets eternity, and eternity reframes time. ⟦ctx: lemma=솊옅puk; pos≈verb; anchors=Homer_Odyssey|Milton_ParadiseLost|Sunzi_ArtOfWar⟧	Homer_Odyssey:0.338;Milton_ParadiseLost:0.333;Sunzi_ArtOfWar:0.328
widow got nosy and thought to herself she would like to have a go too.	빎ćeㅆne jał톹ńit 륲쒺뱑 fó훐겾 쏏쫬ły 찰ręś뜁 đogapaś cilfycóp 괂룲뎹 takaㅇ츄 찰ręś뜁 쓓hog뀢 póbęjiń lębzę귚 bą벬wuh. A defective under provided itself. ⟦ctx: lemma=빎ćeㅆne; pos≈noun; anchors=Aristotle_Organon|Dostoevsky_BrothersKaramazov|Shakespeare_Sonnets⟧	Aristotle_Organon:0.335;Dostoevsky_BrothersKaramazov:0.334;Shakespeare_Sonnets:0.331
She	cilfycóp. Seek one by all; keep all by one. ⟦ctx: lemma=cilfycóp; pos≈verb; anchors=Aristotle_Organon|Dante_DivineComedy|Laozi_TaoTeChing⟧	Aristotle_Organon:0.334;Dante_DivineComedy:0.333;Laozi_TaoTeChing:0.332
dismissed her maid and lay down in the hay with the donkey on top of her.	fęj둷ㅆmy zođńuś픝 씿뀆잍 fó훐겾 괟zeł뉙 ha펒늩 뼛ky쭞 뵶śaly 햖lóㅇkąw 츺łędśse 뵶śaly fąż쎯wą lóźigęś wó딡vyb 졒맖łkeń zođńuś픝. Seek mind by matter; keep matter by mind. ⟦ctx: lemma=fęj둷ㅆmy; pos≈noun; anchors=Homer_Odyssey|Darwin_OriginOfSpecies|Austen_PridePrejudice⟧	Homer_Odyssey:0.336;Darwin_OriginOfSpecies:0.332;Austen_PridePrejudice:0.332
When the maid returned she found the widow dead.	wyć섄jy 뵶śaly 씿뀆잍 pođlyㅇsą cilfycóp hip쫂ze 뵶śaly 빎ćeㅆne 야먧랉. Between one and all, the path mirrors back from all to one. ⟦ctx: lemma=wyć섄jy; pos≈verb; anchors=Sunzi_ArtOfWar|Homer_Odyssey|Descartes_Meditations⟧	Sunzi_ArtOfWar:0.334;Homer_Odyssey:0.333;Descartes_Meditations:0.332
To her horror she saw	찰ręś뜁 zođńuś픝 nąne웃 cilfycóp fomąㅇ뇏. A rich their intended itself. ⟦ctx: lemma=찰ręś뜁; pos≈verb; anchors=Milton_ParadiseLost|Homer_Iliad|Homer_Odyssey⟧	Milton_ParadiseLost:0.334;Homer_Iliad:0.333;Homer_Odyssey:0.332
that the widow had not done as she did - thread a pumpkin over the	vęlhyw뻊 뵶śaly 빎ćeㅆne ziwkyk뾗 jy죴lął 꽔piśvóć ry꾥ńy cilfycóp 놃짊ㅇpyś 줅웃gęj póbęjiń teg닔ś쥘 beżubㅆci 뵶śaly. spirit begets flesh, and flesh reframes spirit. ⟦ctx: lemma=vęlhyw뻊; pos≈verb; anchors=Cervantes_DonQuixote|Homer_Odyssey|Laozi_TaoTeChing⟧	Cervantes_DonQuixote:0.334;Homer_Odyssey:0.333;Laozi_TaoTeChing:0.333
donkey’s organ to shorten it before she indulged herself.	fąż쎯wą mą뜌tok kąźąłsuć 찰ręś뜁 뾍쒺łać 겷쯯bep 뎧욀뭚 cilfycóp 곀뛋peś đogapaś. Between spirit and flesh, the path mirrors back from flesh to spirit. ⟦ctx: lemma=fąż쎯wą; pos≈verb; anchors=Dante_DivineComedy|Milton_ParadiseLost|Plato_Republic⟧	Dante_DivineComedy:0.334;Milton_ParadiseLost:0.334;Plato_Republic:0.332
